URL,Date,Headline,Content,Portal
https://www.thedailystar.net/country/bagerhat-road-accident-5-killed-25-injured-1880740,"Mar 14, 2020","6 killed, 30 injured in Bagerhat road accident","Six people were killed and 30 others injured in a collision between a bus and truck on the Khulna-Mawa highway near Fakirhat upazila this afternoon.
A Dhaka-bound bus of Razib Paribahan crashed into a truck coming from the opposite direction around 4:00pm leaving five people dead on the spot, our Bagerhat correspondent reports quoting Officer-in-Charge of Fakirhat Police Station Abu Sayeed Khairul Anam.
For all latest news, follow The Daily Star's Google News channel.
Three women, a child and two men were killed in the accident, the OC said without giving further details.  
He said among one of the female victims succumbed to her injuries on the way to Khulna Medical College Hospital.
The bodies of the rest were kept at Fakirhat Upazila Health Complex and Katakhali Highway Police Station, the police officer said.
Of the injured, 16 were sent to Khulna Medical College Hospital while the rest are now undergoing treatment at different local hospitals, he said.",Dailystar
https://www.thedailystar.net/city/10-students-hurt-in-road-accident-teacher-hand-severed-1878889,"Mar 10, 2020","Teacher, 10 students hurt in road accident","A teacher's left hand was severed and at least 10 students of Dhaka's Willes Little Flower School and College were injured when a bus on a study tour collided with a parked truck in Gopalganj this afternoon.
The teacher -- Fahima Begum (50) -- and a student with critical injuries were flown to Dhaka on an air-ambulance, said Monirul Islam, officer-in-charge of Gopalganj Sadar Police Station.
For all latest news, follow The Daily Star's Google News channel.
The bus was headed towards Bangabandhu Mausoleum at Tungipara from Dhaka.
The bus driver lost control over the steering wheel around 12:30pm near Ghonapara area and hit a truck parked on the roadside, leaving Fahima and 10 students injured, the OC added.
A teacher of the civic department of the college, Fahima lives with her family in her Shantinagar residence. She, along with more than 100 students, nine teachers and some staff of the institution were going to Gopalganj from Dhaka this morning when the accident took place, her colleague and family members said.
After primary treatment at a local hospital, Fahima was flown to Dhaka and admitted to Sheikh Hasina National Burn and Plastic Surgery Institute in the capital around 4:00pm.
Other injured were also being taken to Dhaka by ambulance till filing of this report this evening.
Samanta Lal Sen, chief coordinator of the institute, said Fahima's condition is critical. Her left arm, till the elbow, had been severed. She also had injuries on her right hand, head and other parts of her body, he said.
She is undergoing surgery and senior doctors were trying to reattach her severed hand this afternoon, Sen said, adding she will be given treatment for other injuries later.",Dailystar
https://www.thedailystar.net/country/news/national-volleyball-team-goalkeeper-among-2-killed-kushtia-road-accident-1871194,"Feb 21, 2020",National handball team goalkeeper among 2 killed in Kushtia road accident,"Two people were killed today in a road accident involving a motorcycle and a battery-run three-wheeler at Daulatpur upazila of Kushtia. 
The deceased were Sohanur Rahman (21), goalkeeper of Bangladesh National Handball Team, and his cousin Hridoy Khan -- both hailing from Char Mahirbadi village in Philipnagar union under the upazila, reports our Kushtia correspondent quoting police.
For all latest news, follow The Daily Star's Google News channel.
The incident happened around 9:00am at Hossenabad Centre Intersection in Daulatpur. Sohan and Hridoy, on a motorbike, were going to a local market when the unlicensed three-wheeler (locally called Nasiman) from the opposite direction hit them, leaving them critically injured, said SM Arifuzzaman, officer-in-charge of Daulatpur Police Station.
They were rushed to Kushtia General Hospital where Hridoy succumbed to his injuries around 12:00pm, the OC said.
Sohan was referred to Dhaka for better treatment and died on the way around 4:00pm.
Police later sent the bodies of the deceased to morgue for autopsy, the OC said, adding that no case was filed in this connection yet.
The driver of the three-wheeler fled from the scene after the accident, he added.
     ",Dailystar
https://www.thedailystar.net/city/news/biker-killed-after-bus-runs-him-over-sayedabad-1860247,"Jan 28, 2020",Biker killed after bus runs him over in Sayedabad,"A man died after a bus ran him over at Dhaka’s Sayedabad area in the capital today.
The victim, Omar Faruq Tuhin (28), fell from his motorcycle and was crushed under the wheels of a bus, said Inspector Bacchu Miah of Dhaka Medical College Hospital (DMCH) police outpost.
For all latest news, follow The Daily Star's Google News channel.
Omar Faruq was on his way to Jatrabari from Motijheel when a ‘Ashiyan City Paribahan’ bus hit his motorbike from the back in front of Sayedabad Ideal School and College at 11:30am.
As soon as he fell from the impact, a ‘Turag Paribahan’ bus ran him over leaving him critically injured, the police official said.
Tuhin was declared dead after he was rushed to DMCH. Police seized both the buses and detained the drivers, the official added.  
 ",Dailystar
https://www.thedailystar.net/country/road-accident-30-passengers-hurt-picnic-bus-falls-into-ditch-1855750,"Jan 18, 2020",30 hurt as bus falls into ditch in Cox’s Bazar,"At least 30 passengers of a rental bus were injured after the vehicle fell into a ditch beside the Chattogram-Cox's Bazar highway in Ramu upazila early today.
Among the victims, one critically injured passenger has been sent to Dhaka, and four others have been sent to Chattogram Medical College Hospital for further treatment, our Cox's Bazar correspondent reports, quoting Shaheen Md Abdur Rahman, resident medical officer of the district Sadar hospital.
For all latest news, follow The Daily Star's Google News channel.
Details about the victims are still emerging.
Most of the victims are students of different universities including Dhaka University, Dhaka Medical College and Government Titumir College, reports our Cox's Bazar correspondent.
The accident took place in Lomba Bridge area around 6:30 AM, the correspondent quoted police as saying.
Md Kamal Hossain, an injured passenger at the hospital, said it happened when the driver of the bus tried to overtake an easy bike on the highway.
Officer-in-charge of Ramu Police Station Abul Khayer said efforts were underway to recover the bus.",Dailystar
https://www.thedailystar.net/country/bangladeshi-expatriate-ruhul-amin-24-year-homecoming-wait-ends-in-death-1854937,"Jan 16, 2020",A 24-year homecoming wait ends in death,"""Going [to] BD after 24 years"", read the Facebook status of Bangladeshi expatriate living in the US Ruhul Amin. However, before he could reach his home in Sylhet's Beanibazar, he died in a road accident on the Dhaka-Sylhet Highway in Brahmanbaria on Wednesday night. The accident also injured four more members of the family.
Deceased Ruhul Amin (38) was a US Green Card holder who went to the country as a boy and lived there for the last 24 years, reports our Brahmanbaria correspondent.
For all latest news, follow The Daily Star's Google News channel.
Awaiting his return, his parents rented a microbus for him at Hazrat Shahjalal International Airport.
The tragic accident occurred after the microbus collided with a stone-laden truck coming from the opposite direction, Md Gias Uddin, sub-inspector (SI) of Khatihata Biswaroad Highway Police Outpost, told The Daily Star.
The collision killed Ruhul on the spot and injured five others. They are: Ruhul's father Alim Uddin, younger brothers Nurul Amin and Fakhrul Amin, cousin Emran Ahmed, and driver Badshah Miah.
Quoting relatives of the victim, SI Gias Uddin said that Ruhul, eldest of five, returned to Bangladesh on Wednesday after receiving his Green Card.
The accident might have occurred due to the microbus driver driving in a tired and sleepy state, the police official added.
Among the injured, Nurul Amin and Badshah Miah are in critical condition. The injured were rushed to Brahmanbaria General Hospital and later shifted to Sylhet MAG Osmani Medical College Hospital.",Dailystar
https://www.thedailystar.net/country/bgb-member-wife-killed-road-accident-rajshahi-dhaka-highway-1811386,"Oct 9, 2019","BGB member, wife killed in Rajshahi road accident","A Bangladesh Border Guard (BGB) member and his wife were killed in a road accident on Rajshahi-Dhaka highway in Puthia upazila of Rajshahi this morning.
The deceased were identified as Azim Uddin, a BGB member, and his wife Ruma Begum, 35, of Natore, reports our correspondent from Rajshahi quoting Rezaul Islam, officer-in-charge (OC) of Puthia Police Station.
For all latest news, follow The Daily Star's Google News channel.
The accident occurred at around 11.00am when a Rajshahi bound truck rammed the BGB member’s motorbike from behind in front of Janata Bank’s Puthia branch, said the OC.
They died on the spot, the police official said.
The couple were travelling to Puthia from Natore to visit Ruma’s parents.
Police seized the truck, however, its driver and helper managed to escape.",Dailystar
https://www.thedailystar.net/city/news/2-killed-dhaka-road-crashes-1789426,"Aug 23, 2019",2 killed in Dhaka road crashes,"Two people were killed in separate road accidents in Rampura and Jatrabari areas of Dhaka today.
Abdul Kader, 56, a driver by profession, sustained injuries after an unidentified bus hit his motorcycle from behind at Rampura bridge around 7:00am.
For all latest news, follow The Daily Star's Google News channel.
He was rushed to Dhaka Medical College Hospital where doctors declared him dead, Inspector Bachchu Mia, in-charge of DMCH police camp, told The Daily Star.
Meanwhile, Golam Mostofa, 60, was injured critically after a speeding pickup van ran him over in Matuail area of Jatrabari Police Station this morning.
The accident took place around 10:00am when the victim was crossing the road, said the inspector.  
Mostofa was declared dead soon after he was taken to the DMCH, added Bachchu Mia.",Dailystar
https://www.thedailystar.net/backpage/news/ten-killed-roads-2-days-1786741,"Aug 18, 2019",Eleven killed on roads in two days,"Eleven people, including four students, were killed in road crashes in the last two days.
In Narsingdi’s Shibpur, three students were among the four people killed when a bus rammed into a car around 3:00am yesterday, police said.
For all latest news, follow The Daily Star's Google News channel.
Four others were injured in the crash on Dhaka-Sylhet Highway.
Akib Hossain, 27, Jannatul Ferdous, 25, Sadia Akter, 24, and her husband Ekram Mia, 35, died after a bus of Shyamoli Paribahan rammed into their car, officers said.
All of them, except for Ekram, were MBA students at Millennium University in the capital.
“They were returning from a picnic in Sylhet,” said Sergeant Jakrul Kabir of Itakhola Highway Police Outpost.
The car was mangled in the crash and the bus plunged into a roadside ditch, he said.
On Benapole-Jashore highway, BBA student Sobuj Hossain, 22, of the Jashore Cantonment College was killed in Tapshidanga area early yesterday.
He was hit by a truck while going across the road, said Samir Kumar Sarker, officer-in-charge of Jashore Kotwali police station.
In Noakhali’s Companiganj, four-year-old Muntaha was killed in Natun Bazar area when a CNG-run three-wheeler hit her around noon yesterday.
Locals said she was playing with other children beside a road when the three-wheeler hit her and fled the scene.
In Rangpur’s Manthana-Gangahari area, Anis, 35, of Dinajpur was killed and 30 other passengers of a bus were injured when the vehicle plunged into a roadside ditch on Friday night, said Inspector Abu Musa of Hazirhat Police Station in Rangpur.
Also on Friday night, traffic constable Robi Chowdhury,33, was killed when he was he hit by a truck around 9:30pm in Jhaugara area on Mymensingh-Haluaghat road.
He was trying to stop a truck from driving down the wrong side of the road, said OC Khondaker Shaker Ahmed of Kotwali Police Station.
He died at Mymensingh Medical College Hospital about an hour after he was hit.
The truck driver has been arrested, the OC said.
In Gopalganj, 11-year-old Amin Sheikh, son of Al-Amin Sheikh, was run over and killed by a bus of Tungipara Express when he was crossing a road yesterday morning, said OC Monirul Islam of Gopalganj Sadar Police Station.
Meanwhile, Sobuj Sheikh, 26, of Hatbariya village of Gopalganj, died on Friday evening, a day after he was injured in a road crash.
In Narayanganj’s Rupganj, a motorcyclist was killed and his pillion injured when a car hit them on Kanchan-Kuril road near Nela Market yesterday afternoon. Five people in the car were also injured as it fell into a ditch.
Ibrahim Sarkar, 42, of Dhaka’s Kawla area sold clothes, said Shahjahan Khan, Sub-Inspector of Rupganj Police Station.
Our correspondents in Benapole, Brahmanbaria, Noakhali, Dinajpur, Mymensingh, Narayanganj and Faridpur contributed to this report.",Dailystar
https://www.thedailystar.net/backpage/news/road-crashes-claim-18-lives-1785949,"Aug 16, 2019",Road crashes claim 20 lives,"At least 20 people were killed and 82 others injured in separate road accidents in eight districts yesterday.
Of the 20 dead, seven were killed in Feni, four in Faridpur, three in Kishoreganj, two in Sirajganj, and one each in Gopalganj, Mymensingh, Barishal and Tangail.
For all latest news, follow The Daily Star's Google News channel.
Of the 82 injured, 32 were in Faridpur, 20 each in Feni and Sirajganj, four each in Mymensingh and Kishoreganj, and one each in Gopalganj and Barishal.
The injured were admitted in different hospitals in these districts and Dhaka, reports our correspondents.
two buses that collided in Nowpara area of Faridpur’s Bhanga. Photo: Star
In Feni, the accident took place when the driver of a Cox’s Bazar-bound bus lost his control over the steering on the Dhaka-Chattagram highway and hit a roadside tree near the Lemua Bridge area in Sadar upazila around 6:00am.
The passengers started their journey from the capital’s Pallabi.
The accident left two passengers dead on the spot, two died on their way to a local hospital and three others died while undergoing treatment, said police.
Of the dead, two were identified -- Shadat Hossain, 30, from Feni; and Sujan Miah, 40, from Munshiganj.
In Faridpur, at least four people were killed and 32 injured in two separate road accidents at Bhanga and Sadarpur upazilas.
Three of the dead were identified as Rowsan Fakir, 35, Mira Kundu, 60, and Sattar Mollah, 40, police said.
The first accident took place at around 8:30am when a Tuhin Paribahan bus took off from Faridpur and was on its way to Nilphamari’s Saidpur and collided head-on with a local bus in Bhanga upazila’s Nowpara area.
Rowsan, the local bus driver, and it’s passender Mira died on the spot.
Another victim, who could not be identified, was taken to a local hospital where he was declared dead.
Police seized both buses, said Ataur Rahman, officer-in-charge (OC) of Bhanga Highway Police Station.
Firefighters gather around a mangled bus that hit two others near Bangabandhu Bridge in Sirajganj. Photo: Star
The second accident took place around 11:30am when a motorbike hit a man, who was standing beside the road in Sadarpur upazila’s Baburchar area.
The victim was identified as Sattar, who was declared dead after being taken to hospital, said Lutfar Rahman, OC of Sadarpur Police Station.
In Kishoreganj, three people were killed and four others injured in a road accident in Katiadi upazila’s Aachmita area.
The dead were identified as Jalal Mia, 30, driver of a CNG-run auto-rickshaw, and its passengers Omar Faruq, 20, and Tofazzol Hossain, 28.
Quoting locals, police said the accident occurred when a CNG-run auto-rickshaw, heading towards Bhairab from Karimganj with six passengers, collided head-on with a truck around 11:15am.
After the accident, the three victims were taken to a local hospital where on-duty doctors declared them dead.
Police seized the truck but its driver managed to flee, said Md Shafiqul Islam, OC (Investigation) of Katiadi Police Station.
In Sirajganj, at least two people were killed and 20 injured as three buses collided at the Konabari point near the Bangabandhu bridge west-zone highway.
The accident occurred around 2:30pm when a Dhaka-bound Hanif Enterprise bus collided head-on with North Bengal-bound Five Star Paribahan bus at Konabari point, after which another bus hit the Hanif Enterprise bus, said police quoting witnesses.
The accident left two people dead on the spot, one of who was the driver of the Five Star Paribahan bus. The other victim could not be identified immediately, said Sayed Shahid Alam, OC of Bangabandhu Bridge West Zone Police Station.
Vehicular movement on the Bangabandhu bridge highway remained suspended for half an hour due to the huge traffic jam after the accident.
In Mymensingh, a madrasa student was killed and four of his family members were injured in a road accident in Phulpur upazila’s Imadpur area.
A Cox’s Bazar-bound bus that hit a tree on Dhaka Chattogram highway being hauled off. Road crashes across the country left 18 people dead and 81 injured yesterday.
The dead was identified as Jayed, 6, son of Abdul Malek.
The accident took place around 1:00pm when a CNG-run auto-rickshaw heading to Sherpur collided head-on with a Mymensingh-bound bus at Imadpur area on the Mymensingh-Sherpur road, leaving Jayed dead on the spot.
The victims were all passengers of the auto-rickshaw. Police seized the bus, but its driver and helpers managed to flee the scene, said Imarat Hossain Gazi, OC of Phulpur Police Station.
In Gopalganj, a motorcyclist was killed while his wife was injured in a road accident at Gopalpur area under Kashiani upazila.
The dead was identified as Tuhin Mollah, 45.
The accident took place when Tuhin lost control and his motorbike overturned in Gopalpur area on the Dhaka-Khulna highway around 2:00pm. Tuhin died on the spot, said Ataur Rahman, OC of Bhanga Highway Police Station.
In Barishal, a motorcyclist was killed and another injured after the motorbike was hit by a bus in Notunhut area of Babuganj upazila around 1:130pm.
The deceased could not be identified immediately, said Dibakar Chandra Das, OC of Babuganj police station.
In Tangail, a college student was killed after his motorbike collided head-on with a pickup in Boali area under Sakhipur upazila around 9:30am.
The deceased was identified as Ishtiaq Ahmed, 18.
The pick-up driver and his helper fled the scene, said Amir Hossain, OC of Sakhipur police station.",Dailystar
